timestamp,kmax_cost,skype_cost,trks_cost
1477971040.0,784296.0,607770.0,389100.0
1477971050.0,778548.0,610200.0,389100.0
1477971060.0,770100.0,604368.0,412560.0
1477971070.0,760620.0,605718.0,414180.0
1477971080.0,767064.0,610632.0,414180.0
1477971090.0,749988.0,632232.0,414180.0
1477971100.0,748932.0,626292.0,419100.0
1477971110.0,749880.0,625104.0,411300.0
1477971120.0,731244.0,632232.0,408000.0
1477971130.0,727584.0,632664.0,408240.0
1477971140.0,725700.0,608418.0,417540.0
1477971150.0,737496.0,673596.0,417540.0
1477971160.0,752016.0,647352.0,417540.0
1477971170.0,752568.0,647892.0,419820.0
1477971180.0,733380.0,648324.0,419880.0
1477971190.0,720264.0,655776.0,422580.0
1477971200.0,720732.0,669978.0,397980.0
1477971210.0,722916.0,677646.0,415980.0
1477971220.0,713928.0,706266.0,418200.0
1477971230.0,721080.0,709938.0,418200.0
1477971240.0,720120.0,712098.0,418200.0
1477971250.0,738852.0,712422.0,418200.0
1477971260.0,739776.0,712854.0,418200.0
1477971270.0,742824.0,712854.0,425100.0
1477971280.0,749196.0,712584.0,469740.0
1477971290.0,776364.0,749736.0,505260.0
1477971300.0,800796.0,830520.0,601860.0
1477971310.0,802284.0,832734.0,601860.0
1477971320.0,828072.0,847746.0,597960.0
1477971330.0,822600.0,848880.0,568380.0
1477971340.0,836208.0,898722.0,604260.0
1477971350.0,839916.0,891648.0,594960.0
1477971360.0,851412.0,840348.0,588960.0
1477971370.0,866940.0,841752.0,588960.0
1477971380.0,858456.0,829980.0,586560.0
1477971390.0,865968.0,929232.0,588060.0
1477971400.0,865644.0,924750.0,573960.0
1477971410.0,849552.0,924750.0,574140.0
1477971420.0,865236.0,893592.0,600720.0
1477971430.0,866280.0,894186.0,601260.0
1477971440.0,867252.0,894294.0,601260.0
1477971450.0,867996.0,888624.0,601260.0
1477971460.0,872268.0,911358.0,601260.0
1477971470.0,882816.0,1017414.0,556620.0
1477971480.0,873816.0,1006830.0,559740.0
1477971490.0,891432.0,1055430.0,584400.0
1477971500.0,877428.0,1011906.0,622800.0
1477971510.0,896244.0,1058994.0,631080.0
1477971520.0,905856.0,1113966.0,581280.0
1477971530.0,907644.0,1116774.0,576180.0
1477971540.0,915672.0,1116396.0,573480.0
1477971550.0,920304.0,1123740.0,578820.0
1477971560.0,938472.0,1141992.0,586020.0
1477971570.0,965940.0,1139508.0,573120.0
1477971580.0,962352.0,1125630.0,570300.0
1477971590.0,960492.0,1131786.0,552840.0
1477971600.0,948084.0,1132596.0,553320.0
1477971610.0,950544.0,1133082.0,553320.0
1477971620.0,963468.0,1150200.0,548940.0
1477971630.0,957768.0,1111374.0,553860.0
1477971640.0,948984.0,1036962.0,541860.0
1477971650.0,951048.0,1032480.0,553320.0
